z,n,a,qBminus2n,B2,E2plus,Sn,q2Bminus,qEC,halflife,S2n,Sp,dqA,q2EC,qBminusn,qBminus,S2p,qECp,qBplus,qA
10,8,18,,0.6787226929862649,1887.3,19254.1527,,4444.5049,1.66432,34811.7938,3923.055,-1513.7199499999997,6100.4337,-37473.2804,-19720.3745,4523.3226,-1162.5895,3422.5071,-5115.0797
10,9,19,-49110.16211999999,,,11636.8819,-30086.3405,3239.4986,17.2569,30891.0346,6410.03,-3061.07975,-1580.8043,-31357.2564,-11177.331,12017.1244,-4754.1012,2217.5008,-3528.4845
10,10,20,-48222.56029,0.7204376103424616,1633.674,16865.3038,-24519.6261,-7024.4689,STABLE,28502.1857,12843.4581,-2293.35795,-10838.1039,-28042.6347,-13892.4207,20837.058,-17663.761,-8046.4667,-4729.8459
10,11,21,-34803.79612,,,6761.1623,-16635.627,-5684.1712,STABLE,23626.466,13003.2842,-1268.9967500000002,-13793.8102,-20653.583,-3546.919,23642.5763,-16816.9192,-6706.169,-7347.928
10,12,22,-31017.84112,0.5662896099221271,1274.537,10364.2574,-7624.7294,-10818.0916,STABLE,17125.4197,15266.0816,-473.9642000000004,-17307.7478,-13911.1765,-2843.3243,26398.8296,-23375.7206,-11840.0894,-9666.8153
10,13,23,-19111.82412,,,5200.6473,319.6296,-8439.3084,37.148,15564.9047,15236.3919,-472.8231999999998,-19775.4156,-8043.9716,4375.8085,27794.0209,-21726.0482,-9461.3062,-10911.8187
10,14,24,-16912.88712,0.4172269983966613,1981.5,8868.9154,7981.9358,-13496.1583,202.79999999999998,14069.5628,16525.8769,339.7555000000002,-24452.0468,-4493.1069,2466.2583,29812.6166,-27861.9841,-14518.156099999998,-12172.73
10,15,25,-8648.2856,,,4155.1786,11157.279,-13369.6698,0.602,13024.0941,16868.9899,760.3398500000003,-29364.5331,-1688.9203,7322.3107,31234.8157,-27824.8784,-14391.6676,-12522.4526
10,16,26,-7243.62112,0.3933302206090784,2018.0,5554.7015,16695.6572,-18193.5414,0.196,9709.8802,18142.0243,-280.28380000000016,-34179.927,1767.6091,7341.894,32597.2329,-34136.8876,-19215.5392,-11226.8344
10,17,27,266.0878800000028,,,1501.5217,21637.5042,-18082.568,0.0309,7056.2232,18912.7161,-1301.3005999999996,-37619.0,5840.3723,12568.7005,34856.0623,-34899.1017,-19104.5658,-9995.3765
10,18,28,2017.8818800000008,0.3619249683709817,1304.0,3822.4899,26319.6836,-22104.0579,0.0187,5324.0116,21122.7109,-2463.9863000000005,-40780.0,8746.2106,12288.0534,37939.2446,-40659.0,-23126.0557,-9625.5821
10,19,29,7774.957880000002,,,971.2532,29012.163,-21750.3873,0.014,4793.7431,22292.9641,-2253.8515,,11316.8002,15719.8092,40848.0,-40969.0,-22772.3851,-11354.143
10,20,30,8125.7988799999985,0.4922911820109733,792.0,3191.0012,32161.4924,-25680.0,0.0073,4162.2543,24159.0415,-1787.9375499999996,,12528.808,14805.4501,43378.0,,-26701.9978,-13805.8365
10,21,31,12358.963880000005,,,169.844,34303.7458,-25661.0,0.0034,3360.8452,25068.0,-1026.8619,,14635.6061,18935.5625,,,-26682.9978,-15913.0
10,22,32,12381.693880000004,,722.0,2254.0,37828.0,,0.0045000000000000005,2424.0,27133.0,-769.0,,16682.0,18359.0,,,,-17506.0
10,23,33,17741.332879999998,,,-1060.0,41168.0,,1.8000000000000002e-7,1194.0,,,,19419.0,22350.0,,,,
10,24,34,18059.21188,,,1360.0,44518.0,,,300.0,,,,20990.0,21161.0,,,,
11,6,17,,,,,,18219.1277,,,-3443.8336,-160.0,32767.8784,,,-3574.8854,16755.4268,17197.1299,-9735.0
11,7,18,,,,17752.9059,,19720.3745,9.114e-23,,-1248.5688,44.66334999999981,24164.8794,,,215.1321,15797.3195,18698.3767,-9351.3267
11,8,19,,,,20179.9254,,11177.331,1.8228e-17,37932.8313,-322.7961,-1271.97285,14416.8296,,-18909.0095,3600.2589,4767.3009,10155.3332,-6062.2835
11,9,20,,,,14150.214,,13892.4207,0.448,34330.1395,2190.5361,-1537.3036500000003,6867.9517,-33059.2235,-10627.2054,8600.5661,1048.9626,12870.4229,-6249.6092
11,10,21,-50165.88712,,,17106.6639,-29275.0,3546.919,22.4548,31256.878,2431.8963,-1297.27895,-2137.2521,-27733.8694,-13088.708,15275.3544,-9456.3652,2524.9212,-6561.4745
11,11,22,-38801.72112,,,11067.8522,-23383.0,2843.3243,82109719.44,28174.5161,6738.5862,-487.1220000000003,-7974.7673,-24156.5602,-4781.4051,19741.8704,-12422.7573,1821.3265,-8479.4198
11,12,23,-36576.34064,,,12419.7801,-16277.9246,-4375.8085,STABLE,23487.6323,8794.1088,187.6992,-12815.1169,-17201.1852,-4056.179,24060.1904,-19612.2004,-5397.8063,-10467.3243
11,13,24,-24160.55112,,,6959.3653,-8369.0886,-2466.2583,53848.08,19379.1454,10552.8268,-16.190599999999904,-15962.4166,-11015.5442,5515.6774,25789.2187,-18992.1352,-3488.2561,-10825.3534
11,14,25,-20026.77512,,,9011.231,-441.8397,-7322.3107,58.9,15970.5962,10695.1423,230.1298999999999,-20691.9805,-3495.5535,3834.9684,27221.0192,-24191.3006,-8344.3085,-11735.1243
11,15,26,-9069.83812,,,5574.2849,5349.359,-7341.894,1.07128,14585.5158,12114.2485,325.4101500000006,-25535.4354,-1739.3165,9353.7631,28983.2384,-25483.9183,-8363.8918,-12079.0722
11,16,27,-8467.645120000001,,,6728.3282,11679.0731,-12568.7005,0.301,12302.613,13287.8752,-314.93214999999964,-30651.2685,2625.435,9068.8037,31429.8995,-31481.4166,-13590.6983,-11227.9698
